cumPktCount,burstNum,burstSize,pktsBurst,pktsFlow,maxBytesFlow,fractionFlowBytes
1,1,1404,1,1,1404,1.0
4,2,3000,3,1,1504,0.501333333333
7,3,592,3,1,397,0.670608108108
8,4,56,1,1,56,1.0
10,5,336,2,1,290,0.863095238095
18,6,3224,8,1,1504,0.466501240695
19,7,46,1,1,46,1.0
25,8,7412,6,1,1504,0.2029141932
27,9,1560,2,1,1496,0.958974358974
28,10,1504,1,1,1504,1.0
29,11,1404,1,1,1404,1.0
31,12,102,2,1,56,0.549019607843
32,13,1496,1,1,1496,1.0
33,14,56,1,1,56,1.0
35,15,3000,2,1,1504,0.501333333333
112,16,81406,77,24,35904,0.441048571358
113,17,46,1,1,46,1.0
114,18,1504,1,1,1504,1.0
121,19,3327,7,1,1504,0.452058911933
123,20,1560,2,1,1504,0.964102564103
124,21,1504,1,1,1504,1.0
126,22,1642,2,1,987,0.601096224117
130,23,4562,4,1,1504,0.329679964928
137,24,4226,7,1,1404,0.332229058211
140,25,1701,3,1,1504,0.884185773075
143,26,1762,3,1,1504,0.853575482406
144,27,46,1,1,46,1.0
148,28,2695,4,1,1504,0.558070500928
149,29,204,1,1,204,1.0
153,30,3198,4,2,1630,0.509693558474
154,31,1504,1,1,1504,1.0
155,32,56,1,1,56,1.0
156,33,56,1,1,56,1.0
164,34,3344,8,1,1504,0.44976076555
165,35,1460,1,1,1460,1.0
166,36,1504,1,1,1504,1.0
167,37,1504,1,1,1504,1.0
170,38,184,3,1,72,0.391304347826
171,39,76,1,1,76,1.0
173,40,1560,2,1,1504,0.964102564103
174,41,1504,1,1,1504,1.0
177,42,1614,3,1,1504,0.931846344486
180,43,715,3,1,566,0.791608391608
184,44,224,4,1,56,0.25
185,45,46,1,1,46,1.0
186,46,1504,1,1,1504,1.0
190,47,362,4,1,204,0.563535911602
191,48,1504,1,1,1504,1.0
193,49,1450,2,1,1404,0.968275862069
196,50,1616,3,1,1504,0.930693069307
197,51,1504,1,1,1504,1.0
198,52,1504,1,1,1504,1.0
200,53,1256,2,1,1188,0.945859872611
201,54,1504,1,1,1504,1.0
204,55,1606,3,1,1504,0.936488169365
205,56,64,1,1,64,1.0
219,57,6562,14,2,3008,0.458396830235
220,58,84,1,1,84,1.0
221,59,1504,1,1,1504,1.0
232,60,7417,11,1,1504,0.202777403263
233,61,56,1,1,56,1.0
235,62,1560,2,1,1504,0.964102564103
237,63,100,2,1,50,0.5
238,64,632,1,1,632,1.0
245,65,4970,7,1,1504,0.302615694165
247,66,1550,2,1,1504,0.970322580645
248,67,1504,1,1,1504,1.0
260,68,6170,12,1,1504,0.24376012966
265,69,4618,5,1,1504,0.325682113469
278,70,8490,13,2,3008,0.354299175501
279,71,1504,1,1,1504,1.0
280,72,1504,1,1,1504,1.0
281,73,56,1,1,56,1.0
282,74,1504,1,1,1504,1.0
285,75,4028,3,1,1504,0.373386295929
286,76,50,1,1,50,1.0
293,77,5170,7,1,1504,0.290909090909
294,78,93,1,1,93,1.0
295,79,1504,1,1,1504,1.0
298,80,1606,3,1,1504,0.936488169365
300,81,1550,2,1,1504,0.970322580645
304,82,3060,4,1,1504,0.491503267974
305,83,1460,1,1,1460,1.0
308,84,1005,3,1,893,0.88855721393
309,85,1504,1,1,1504,1.0
310,86,46,1,1,46,1.0
318,87,6993,8,2,3008,0.430144430144
327,88,4641,9,1,1504,0.324068088774
328,89,1504,1,1,1504,1.0
330,90,3008,2,1,1504,0.5
333,91,219,3,1,113,0.51598173516
335,92,404,2,1,336,0.831683168317
340,93,4614,5,1,1504,0.325964456003
341,94,431,1,1,431,1.0
342,95,76,1,1,76,1.0
351,96,4295,9,1,1504,0.350174621653
352,97,1496,1,1,1496,1.0
353,98,1404,1,1,1404,1.0
354,99,1504,1,1,1504,1.0
359,100,2732,5,1,1504,0.550512445095
363,101,1715,4,1,1504,0.876967930029
364,102,56,1,1,56,1.0
365,103,1504,1,1,1504,1.0
366,104,50,1,1,50,1.0
368,105,1550,2,1,1504,0.970322580645
369,106,56,1,1,56,1.0
370,107,56,1,1,56,1.0
371,108,1504,1,1,1504,1.0
374,109,3054,3,1,1504,0.492468893255
378,110,3128,4,1,1504,0.480818414322
379,111,1504,1,1,1504,1.0
382,112,3254,3,2,3008,0.924400737554
383,113,1504,1,1,1504,1.0
389,114,5806,6,2,2552,0.439545297968
390,115,50,1,1,50,1.0
391,116,68,1,1,68,1.0
398,117,1980,7,1,1504,0.759595959596
399,118,46,1,1,46,1.0
400,119,50,1,1,50,1.0
401,120,131,1,1,131,1.0
403,121,1460,2,1,1404,0.961643835616
405,122,1623,2,1,1444,0.889710412816
406,123,1504,1,1,1504,1.0
