FlowID,bytes,pkts,beginTime,endTime,SYN,SYNACK,FIN,dur,rate,RTT
90.92.84.195-232.182.5.39-22-38724,362250948,253385,1403182806770317,1403182840068993,0,1,1,33.298676,87030715.0951,0.0
90.92.84.188-232.182.5.39-22-65014,334688364,234214,1403182800208717,1403182832036839,0,1,1,31.828122,84123936.4358,0.0
90.92.84.193-56.146.229.68-22-59784,185667828,129941,1403182820263323,1403182838950889,0,1,1,18.687566,79482936.6221,0.0
62.208.175.89-90.21.226.70-38436-8462,139827219,92991,1403182803176870,1403182821608356,1,0,1,18.431486,60690589.5705,13.821
68.142.134.164-90.21.226.111-34599-8462,85162651,56643,1403182802787510,1403182819507776,1,0,1,16.720266,40747031.6561,12.846
68.142.86.46-90.21.226.65-49618-8462,53244563,35421,1403182802587231,1403182818211333,1,0,1,15.624102,27262783.1027,11.684
47.138.100.254-149.196.93.95-80-45241,43551664,29068,1403182819927289,1403182837995361,0,1,1,18.068072,19283369.6921,0.0
68.142.86.48-90.21.224.240-47521-8465,35831339,25192,1403182820899897,1403182824219668,1,0,1,3.319771,86346531.7337,11.79
68.142.134.138-90.21.226.87-50997-8462,31791515,21156,1403182803091383,1403182815993271,1,0,1,12.901888,19712783.1214,10.874
68.142.86.78-90.21.226.155-62612-8462,28414115,18912,1403182802506031,1403182815545017,1,0,1,13.038986,17433328.0211,10.714
49.248.193.192-148.132.21.186-80-8259,22627929,15054,1403182833542323,1403182850399012,0,1,1,16.856689,10738967.3025,0.0
49.248.193.192-148.132.21.186-80-8197,22129393,14720,1403182819384094,1403182831986410,0,1,1,12.602316,14047826.1297,0.0
62.208.175.97-90.21.226.72-45596-8462,17455451,11624,1403182804712471,1403182813931270,1,0,1,9.218799,15147700.6929,14.056
77.135.63.128-77.135.54.236-39920-40340,16369495,10894,1403182823867564,1403182828359077,1,0,1,4.491513,29156313.2512,10.829
68.142.134.163-90.21.226.81-45097-8462,15693491,10453,1403182803264574,1403182813332582,1,0,1,10.068008,12469986.913,14.841
186.227.113.51-90.21.226.117-59106-8462,14312019,9534,1403182803049535,1403182813000421,1,0,1,9.950886,11506126.3891,18.767
